Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/api/v1/qr/menu [isolation-control:b],1441,0,2100,1523.488977515506,17.91640000010375,3022.8638000044157,17861.0,9.68499942518876,0.0,2100,2100,2100,2100,2100,2100,2100,2100,2400,3000,3000
GET,/api/v1/qr/menu [mixed:browse],971,1,2100,1126.5736383109272,0.8686000001034699,3030.03549999994,17837.382080329557,6.526116892337464,0.006721026665641055,2100,2100,2100,2100,2100,2100,2100,2100,3000,3000,3000
GET,/api/v1/qr/menu [mixed:poll-fallback],249,0,2100,1162.461969076156,17.260199994780123,2212.9539999950794,17855.763052208837,1.6735356397446228,0.0,2100,2100,2100,2100,2100,2100,2100,2200,2200,2200,2200
GET,/api/v1/qr/menu [mixed:pre-order],320,0,2100,1164.4567796876345,18.073999999614898,2327.9575999986264,17855.7625,2.1507285330051378,0.0,2100,2100,2100,2100,2100,2100,2100,2200,2300,2300,2300
POST,/api/v1/qr/orders [mixed:POST],320,0,17,20.176541250066293,3.725700000359211,295.49060000135796,563.15625,2.1507285330051378,0.0,17,21,24,25,29,39,62,130,300,300,300
GET,/api/v1/qr/orders/{id} [mixed:poll],302,0,2000,1062.2388668874294,5.152899997483473,2309.2793000032543,923.3046357615895,2.029750053023599,0.0,2000,2000,2100,2100,2100,2100,2100,2100,2300,2300,2300
,Aggregated,3603,1,2100,1187.505537107908,0.8686000001034699,3030.03549999994,14897.800721620872,24.21585907630472,0.006721026665641055,2100,2100,2100,2100,2100,2100,2100,2100,2300,3000,3000
