Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/api/v1/qr/menu [isolation-control:b],10202,11,2100,1810.9476735247906,0.6292000034591183,26474.718500001472,17841.741913350324,28.52742210904248,0.03075883583605835,2100,2100,2100,2200,2600,2800,3200,4100,23000,23000,26000
GET,/api/v1/qr/menu [mixed:browse],7414,16,2100,1348.877622012367,2.418699994450435,23520.812299997488,17817.27097383329,20.73145535350333,0.04474012485244851,2100,2100,2100,2100,2400,2700,3100,4000,22000,24000,24000
GET,/api/v1/qr/menu [mixed:poll-fallback],2005,5,2100,1413.6512119700049,8.993199997348711,24947.967799998878,17811.300748129677,5.6064968955724535,0.01398128901639016,2100,2100,2100,2100,2400,2600,2900,3900,23000,25000,25000
GET,/api/v1/qr/menu [mixed:pre-order],2398,3,2100,1341.2235641368234,2.366300002904609,23088.33400000003,17833.464970809007,6.70542621226072,0.008388773409834096,2100,2100,2100,2100,2400,2600,3000,3800,22000,23000,23000
POST,/api/v1/qr/orders [mixed:POST],2387,1,21,131.43641642233447,3.7573000008706003,10236.693999999261,211.78801843317973,6.674667376424662,0.0027962578032780317,21,37,72,140,340,510,740,1000,10000,10000,10000
GET,/api/v1/qr/orders/{id} [mixed:poll],1743,3,420,1237.9247876649117,2.8505000009317882,25794.639699997788,906.592082616179,4.8738773511136095,0.008388773409834096,420,2100,2100,2100,2200,2400,3200,11000,22000,26000,26000
,Aggregated,26149,39,2100,1414.8890310374945,0.6292000034591183,26474.718500001472,15093.530651267734,73.11934529791725,0.10905405432784324,2100,2100,2100,2100,2400,2700,3100,4000,22000,25000,26000
