Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/api/v1/auth/login,30,14,2900,3274.8366033334605,2050.6777000009606,6233.470200000738,397.3333333333333,0.1442862078069356,0.0673335636432366,3200,3600,3900,4900,5300,5400,6200,6200,6200,6200,6200
GET,/api/v1/orders [staff],89,5,8500,9748.334304494256,27.989599999273196,96233.9150000007,142819.16853932585,0.4280490831605756,0.02404770130115593,8500,10000,11000,12000,20000,22000,45000,96000,96000,96000,96000
,Aggregated,119,19,5400,8116.360094117586,27.989599999273196,96233.9150000007,106914.50420168067,0.5723352909675111,0.09138126494439254,5400,9400,10000,11000,20000,21000,22000,45000,96000,96000,96000
