Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/api/v1/qr/menu [isolation-control:b],8,0,2100,1650.3378124994015,42.26790000029723,2322.3212999982934,17861.0,0.4540339566858481,0.0,2100,2200,2300,2300,2300,2300,2300,2300,2300,2300,2300
GET,/api/v1/qr/menu [mixed:browse],1,0,2338.051099999575,2338.051099999575,2338.051099999575,2338.051099999575,17855.0,0.056754244585731015,0.0,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300
GET,/api/v1/qr/menu [mixed:pre-order],2,0,2100,2157.679050000297,2090.8453999982157,2224.5127000023786,17855.0,0.11350848917146203,0.0,2200,2200,2200,2200,2200,2200,2200,2200,2200,2200,2200
POST,/api/v1/qr/orders [mixed:POST],2,0,28.048500000295462,45.69670000091719,28.048500000295462,63.34490000153892,1164.5,0.11350848917146203,0.0,63,63,63,63,63,63,63,63,63,63,63
GET,/api/v1/qr/orders/{id} [mixed:poll],3,0,21,690.5537999991793,6.243199997697957,2044.1998999995121,1165.6666666666667,0.17026273375719303,0.0,21,21,2000,2000,2000,2000,2000,2000,2000,2000,2000
,Aggregated,16,0,2100,1376.197906249672,6.243199997697957,2338.051099999575,12642.4375,0.9080679133716962,0.0,2100,2100,2200,2200,2300,2300,2300,2300,2300,2300,2300
