Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/api/v1/qr/menu [isolation-control:b],13669,69,2100,2074.0205352256894,1.3267000031191856,88255.91910000367,17770.91747750384,29.724735645679527,0.1500480473737572,2100,2300,2400,2400,2600,2800,5100,7100,87000,88000,88000
GET,/api/v1/qr/menu [mixed:browse],9649,44,2100,1593.8347874287363,1.7083999991882592,88185.40309999662,17774.459633122602,20.982805929121497,0.09568281281804808,2100,2100,2200,2400,2500,2700,4100,6200,60000,88000,88000
GET,/api/v1/qr/menu [mixed:poll-fallback],2970,13,2100,1589.879412693786,9.255500001017936,88054.82970000594,17777.736026936025,6.458589865218245,0.028269921968968752,2100,2100,2200,2300,2500,2700,4000,6600,88000,88000,88000
GET,/api/v1/qr/menu [mixed:pre-order],3260,11,2100,1499.3795743864516,4.002999994554557,86626.73210000503,17795.592331288342,7.089226586064472,0.02392070320451202,2100,2100,2200,2400,2600,2800,4500,6000,57000,87000,87000
POST,/api/v1/qr/orders [mixed:POST],3256,10,46,269.42116799768627,1.3206000003265217,60535.77519999817,182.92260442260442,7.080528148535558,0.021746093822283655,46,160,250,300,440,600,1900,3600,31000,61000,61000
GET,/api/v1/qr/orders/{id} [mixed:poll],1943,7,580,1336.9862674729786,4.760900003020652,88067.55049999629,915.3031394750386,4.225266029669714,0.015222265675598558,580,2100,2100,2200,2300,2500,3000,4200,88000,88000,88000
,Aggregated,34747,154,2100,1635.0654004317096,1.3206000003265217,88255.91910000367,15184.158891415087,75.56115220428902,0.3348898448631683,2100,2100,2300,2400,2600,2700,4300,6300,84000,88000,88000
