Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/api/v1/qr/menu [isolation-control:b],8763,96,2100,2662.4608214880286,7.445399998687208,91436.1460999935,17665.469017459774,16.217882025163853,0.17766936830032296,2100,2400,2900,3300,4500,5400,6200,6900,91000,91000,91000
GET,/api/v1/qr/menu [mixed:browse],6394,62,2100,1967.8710707224855,8.461200006422587,91495.11730000086,17682.789333750392,11.833520217836092,0.11474480036062523,2100,2100,2300,2600,3900,4900,6000,6800,91000,91000,91000
GET,/api/v1/qr/menu [mixed:poll-fallback],2170,33,2100,2142.6244220736435,2.5099999911617488,91393.36200000253,17584.481566820275,4.016068012621884,0.06107384535323601,2100,2200,2400,2700,3800,4800,6300,7400,89000,91000,91000
GET,/api/v1/qr/menu [mixed:pre-order],2271,26,2100,2146.6031516955627,6.488399987574667,91431.5082999965,17651.55746367239,4.202990993854515,0.048118787248004134,2100,2200,2300,2700,4000,4800,6100,7400,91000,91000,91000
POST,/api/v1/qr/orders [mixed:POST],2260,26,85,348.3243105752652,4.942500003380701,59634.14750000811,217.05221238938054,4.182633045403436,0.048118787248004134,85,160,240,320,620,930,1200,1800,30000,60000,60000
GET,/api/v1/qr/orders/{id} [mixed:poll],1158,7,2100,1891.1156816926812,7.279299999936484,89399.05170000566,912.3609671848013,2.1431367551226455,0.012955058105231882,2100,2100,2400,2800,4300,5200,6300,7100,62000,89000,89000
,Aggregated,23016,250,2100,2103.5482907368682,2.5099999911617488,91495.11730000086,15105.07142857143,42.59623105000243,0.46268064661542435,2100,2200,2400,2800,4100,5000,6100,6900,91000,91000,91000
