elapsed_s,backend_cpu_pct,backend_rss_mb,postgres_total_cpu_pct,postgres_total_rss_mb,postgres_process_count,db_active_connections,db_total_connections
3.0,0.0,123.1,0.0,295.6,16,0,1
6.2,0.5,123.1,2.0,295.7,16,0,1
9.3,2.0,123.3,1.0,295.7,16,0,1
12.4,6.5,124.2,1.0,297.3,16,0,1
15.6,1.0,124.7,1.5,317.6,17,0,2
18.8,3.4,125.2,2.0,319.0,17,0,2
21.9,4.5,126.0,1.5,319.4,17,0,2
25.1,4.0,126.6,2.0,319.6,17,0,2
28.2,5.5,127.2,2.5,319.7,17,0,2
31.3,7.5,128.3,4.0,319.9,17,0,2
34.5,11.5,128.7,2.5,342.1,18,0,3
37.6,11.9,128.7,2.5,342.2,18,0,3
40.8,7.4,128.7,3.0,342.3,18,0,3
43.9,10.0,129.6,3.5,342.4,18,0,3
47.0,12.9,129.2,5.0,342.5,18,0,3
50.2,8.5,129.2,4.5,342.6,18,0,3
53.3,15.0,129.9,3.0,342.6,18,0,3
56.4,17.0,131.2,2.0,342.6,18,0,3
59.5,11.0,129.0,2.0,342.7,18,0,3
62.7,15.0,130.0,2.0,342.8,18,0,3
65.8,16.9,131.7,4.0,342.8,18,0,3
68.9,17.0,132.0,7.0,342.8,18,0,3
72.1,19.9,132.1,3.5,363.1,19,0,4
75.3,17.5,132.1,7.2,363.9,19,0,4
78.5,20.5,132.9,3.0,404.6,21,0,6
81.6,25.4,133.0,5.0,407.4,21,0,6
84.8,27.4,133.0,7.0,408.5,21,0,6
87.9,22.4,132.8,7.0,408.7,21,0,6
91.0,18.0,132.8,5.0,409.6,21,0,6
94.2,19.5,134.5,9.0,409.3,21,0,6
97.3,24.5,132.7,7.0,409.2,21,0,6
100.4,18.0,133.6,6.0,409.6,21,0,6
103.6,26.9,131.8,2.5,409.5,21,0,6
106.8,27.4,133.1,8.1,409.4,21,0,6
110.1,26.4,134.2,9.5,413.3,21,0,6
113.2,18.0,134.5,5.0,413.9,21,0,6
116.4,21.7,134.5,4.5,413.8,21,0,6
119.5,28.0,132.8,5.5,414.3,21,0,6
122.6,22.0,133.9,7.5,413.9,21,0,6
125.8,21.9,134.2,5.5,414.0,21,0,6
128.9,26.9,134.5,8.0,414.4,21,0,6
132.0,18.5,134.9,3.5,420.7,22,0,6
135.1,25.0,132.2,5.5,415.6,21,0,6
138.3,32.8,133.6,9.0,415.6,21,0,6
141.4,25.1,133.7,6.0,415.9,21,0,6
144.5,24.4,134.1,7.0,416.4,21,0,6
147.7,25.0,134.3,8.5,416.4,21,0,6
150.8,21.4,134.3,6.0,416.8,21,0,6
154.0,24.3,134.0,5.5,417.4,21,1,6
157.2,20.7,134.0,10.9,415.8,21,0,6
160.3,23.6,134.4,7.0,415.8,21,0,6
163.4,24.4,133.8,8.5,416.2,21,0,6
166.6,22.5,133.8,7.0,417.0,21,0,6
169.7,24.6,134.1,6.0,417.3,21,0,6
172.8,18.1,131.0,4.0,417.2,21,0,6
175.9,19.9,132.6,9.0,416.6,21,0,6
179.1,28.9,133.4,10.0,417.0,21,0,6
182.2,19.5,134.0,6.0,416.9,21,0,6
185.3,0.0,134.0,0.5,416.9,21,0,6
188.5,0.0,134.0,0.0,416.9,21,0,6
191.7,0.0,134.0,0.0,416.9,21,0,6
