Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/api/v1/qr/menu [isolation-control:b],5692,0,2100,1514.7601758081394,16.82280000022729,2807.0120999982464,17861.0,21.118044296570154,0.0,2100,2100,2100,2100,2100,2100,2100,2100,2200,2800,2800
GET,/api/v1/qr/menu [mixed:browse],4095,0,2000,1065.1365400976745,16.68470000004163,2250.5334000015864,17855.80293040293,15.19297108124645,0.0,2000,2100,2100,2100,2100,2100,2100,2100,2200,2300,2300
GET,/api/v1/qr/menu [mixed:poll-fallback],875,0,2100,1147.1247970285865,17.638699999224627,2786.9737000000896,17855.820571428572,3.246361342146677,0.0,2100,2100,2100,2100,2100,2100,2100,2100,2800,2800,2800
GET,/api/v1/qr/menu [mixed:pre-order],1395,0,90,1030.6807854480228,17.452299998694798,2200.2719000010984,17855.810035842293,5.175627511193845,0.0,90,2100,2100,2100,2100,2100,2100,2100,2200,2200,2200
POST,/api/v1/qr/orders [mixed:POST],1395,0,7,11.84051025089913,3.2807000025059097,120.50219999946421,298.047311827957,5.175627511193845,0.0,7,14,17,19,24,29,37,49,93,120,120
GET,/api/v1/qr/orders/{id} [mixed:poll],1132,1,2000,1058.8805907244082,0.9208999981638044,2118.233799999871,930.0318021201414,4.199864044925758,0.003710127248167631,2000,2000,2100,2100,2100,2100,2100,2100,2100,2100,2100
,Aggregated,14584,1,2100,1141.0074935545736,0.9208999981638044,2807.0120999982464,14864.618417443775,54.10849578727673,0.003710127248167631,2100,2100,2100,2100,2100,2100,2100,2100,2200,2800,2800
