Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/api/v1/qr/menu [isolation-control:b],2382,0,2100,1519.9908442905128,17.250200002308702,2463.4048999978404,17861.0,11.389251355981498,0.0,2100,2100,2100,2100,2100,2200,2200,2300,2400,2500,2500
GET,/api/v1/qr/menu [mixed:browse],1699,2,2000,1083.7998040612054,1.3982000018586405,2476.4486999993096,17834.75103001766,8.123567612851623,0.009562763523074305,2000,2100,2100,2100,2100,2100,2200,2200,2500,2500,2500
GET,/api/v1/qr/menu [mixed:poll-fallback],558,0,2100,1162.701265053728,17.42240000021411,2365.135599997302,17855.775985663084,2.668011022937731,0.0,2100,2100,2100,2100,2100,2200,2200,2200,2400,2400,2400
GET,/api/v1/qr/menu [mixed:pre-order],548,0,2100,1134.1212072993258,16.656899999361485,2442.344300001423,17855.77372262774,2.6201972053223597,0.0,2100,2100,2100,2100,2100,2100,2200,2200,2400,2400,2400
POST,/api/v1/qr/orders [mixed:POST],548,0,9,17.841859306621448,3.0971999985922594,238.32760000004782,176.93795620437956,2.6201972053223597,0.0,9,15,20,23,38,62,98,160,240,240,240
GET,/api/v1/qr/orders/{id} [mixed:poll],288,1,2000,1107.928638194507,4.832800001167925,2204.2904000009003,945.4166666666666,1.3770379473227,0.004781381761537152,2000,2000,2100,2100,2100,2100,2100,2100,2200,2200,2200
,Aggregated,6023,3,2100,1172.3627050307234,1.3982000018586405,2476.4486999993096,15434.81205379379,28.79826234973827,0.014344145284611459,2100,2100,2100,2100,2100,2200,2200,2200,2400,2500,2500
