Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/api/v1/qr/menu [isolation-control:b],12996,9,2100,1598.9480858571528,1.2063000031048432,2980.120200001693,17848.630886426592,36.193706654695106,0.025064893805190516,2100,2100,2100,2200,2400,2500,2600,2700,2800,2900,3000
GET,/api/v1/qr/menu [mixed:browse],9363,9,2000,1156.1325897468794,4.427500003657769,3094.844199993531,17838.650966570545,26.075844521999866,0.025064893805190516,2000,2100,2100,2100,2300,2400,2600,2600,2800,3100,3100
GET,/api/v1/qr/menu [mixed:poll-fallback],2398,3,2100,1203.2498656380753,4.01150000107009,2932.4696000039694,17833.495829858217,6.678401704982984,0.008354964601730172,2100,2100,2100,2100,2300,2400,2500,2600,2700,2900,2900
GET,/api/v1/qr/menu [mixed:pre-order],3074,3,2100,1170.2492112231291,2.2413999977288768,2913.7110999945435,17838.381912817178,8.56105372857285,0.008354964601730172,2100,2100,2100,2100,2300,2400,2500,2600,2800,2900,2900
POST,/api/v1/qr/orders [mixed:POST],3072,0,17,59.14844681001815,3.1251000036718324,2522.4242999975104,185.63313802083334,8.555483752171696,0.0,17,34,71,97,170,260,360,440,1100,2500,2500
GET,/api/v1/qr/orders/{id} [mixed:poll],2208,0,330,1061.4024975091086,4.393100003653672,3063.8439999966067,936.2427536231884,6.149253946873406,0.0,340,2100,2100,2100,2100,2200,2300,2400,2600,3100,3100
,Aggregated,33111,24,2100,1226.5657563287086,1.2063000031048432,3094.844199993531,15077.20980942889,92.2137443092959,0.06683971681384138,2100,2100,2100,2100,2300,2400,2600,2600,2800,3000,3100
