Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/api/v1/qr/menu [isolation-control:b],512,67,9100,15967.735700585987,12.874400003056508,97172.66019999806,15525.771484375,2.4316156841540453,0.31819970866859576,9100,11000,15000,19000,45000,71000,96000,97000,97000,97000,97000
GET,/api/v1/qr/menu [mixed:browse],299,30,7000,14175.164419398088,24.063500000920612,97200.57000000088,16065.658862876255,1.4200255655508975,0.1424774814934011,7000,10000,12000,17000,45000,64000,96000,96000,97000,97000,97000
GET,/api/v1/qr/menu [mixed:poll-fallback],126,15,6000,13741.119215079205,80.60520000071847,97233.42699999921,15731.960317460318,0.5984054222722845,0.07123874074670054,6000,8900,11000,13000,21000,71000,97000,97000,97000,97000,97000
GET,/api/v1/qr/menu [mixed:pre-order],101,5,6100,10988.358141584113,175.69340000045486,97214.25029999955,16972.633663366338,0.47967418769445036,0.02374624691556685,6100,9800,10000,11000,19000,34000,96000,96000,97000,97000,97000
POST,/api/v1/qr/orders [mixed:POST],93,2,4700,5979.596610752822,90.20949999830918,89119.69619999945,422.55913978494624,0.4416801926295434,0.00949849876622674,4700,5300,5800,6300,6700,11000,36000,89000,89000,89000,89000
GET,/api/v1/qr/orders/{id} [mixed:poll],44,3,4500,10519.489025000024,35.66729999874951,70675.52910000086,825.9090909090909,0.20896697285698826,0.014247748149340109,4600,5700,9100,10000,19000,64000,71000,71000,71000,71000,71000
,Aggregated,1175,122,6600,13850.229817361738,12.874400003056508,97233.42699999921,14063.768510638298,5.58036802515821,0.5794084247398311,6600,10000,12000,15000,33000,70000,96000,97000,97000,97000,97000
