Method,Name,Error,Occurrences,First Seen,Last Seen
GET,/api/v1/qr/menu [mixed:pre-order],CatchResponseError('menu load failed: 0'),3,2026-08-13T09:51:01Z,2026-08-13T09:51:20Z
GET,/api/v1/qr/menu [isolation-control:b],CatchResponseError('menu load failed: 0'),9,2026-08-13T09:49:39Z,2026-08-13T09:52:00Z
GET,/api/v1/qr/menu [mixed:browse],CatchResponseError('menu load failed: 0'),9,2026-08-13T09:50:30Z,2026-08-13T09:51:59Z
GET,/api/v1/qr/menu [mixed:poll-fallback],CatchResponseError('menu load failed: 0'),3,2026-08-13T09:50:29Z,2026-08-13T09:51:52Z
