Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/api/v1/auth/login,20,0,2100,2121.1373649999587,2095.4822999992757,2294.6517999953358,703.0,0.13506930365290273,0.0,2100,2100,2100,2100,2200,2300,2300,2300,2300,2300,2300
GET,/api/v1/orders [staff],235,0,2100,2023.11418638286,5.928499995206948,2496.8797999972594,723353.7106382978,1.587064317921607,0.0,2100,2300,2300,2300,2400,2400,2400,2500,2500,2500,2500
,Aggregated,255,0,2100,2030.8022788234166,5.928499995206948,2496.8797999972594,666675.2235294117,1.7221336215745098,0.0,2100,2300,2300,2300,2400,2400,2400,2500,2500,2500,2500
