Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/api/v1/qr/menu [isolation-control:b],13050,3,2100,1543.3891512184077,1.0909000047831796,3038.2597999996506,17856.894022988505,36.339873634597595,0.008353993938987952,2100,2100,2100,2100,2100,2300,2500,2600,2800,3000,3000
GET,/api/v1/qr/menu [mixed:browse],9128,6,2100,1139.2197901292718,2.0593000008375384,3053.985999998986,17844.07088080631,25.41841889169401,0.016707987877975904,2100,2100,2100,2100,2100,2200,2400,2500,2800,3100,3100
GET,/api/v1/qr/menu [mixed:poll-fallback],2409,2,2100,1158.1540768782845,0.716600006853696,2853.8432999994257,17840.98505603985,6.708257133007326,0.005569329292658636,2100,2100,2100,2100,2100,2200,2400,2500,2800,2900,2900
GET,/api/v1/qr/menu [mixed:pre-order],3188,2,580,1078.6215523840715,8.094600001641084,2887.9295000006096,17844.60696361355,8.877510892497865,0.005569329292658636,590,2100,2100,2100,2100,2200,2400,2500,2800,2900,2900
POST,/api/v1/qr/orders [mixed:POST],3187,0,9,30.57739450891101,3.2357999953092076,2084.4343999997363,179.5459679949796,8.874726227851536,0.0,9,16,21,26,50,120,300,480,740,2100,2100
GET,/api/v1/qr/orders/{id} [mixed:poll],2287,1,2000,1058.9637480980678,4.25589999940712,2637.0103000008385,914.0607783121994,6.3685280461551494,0.002784664646329318,2000,2100,2100,2100,2100,2100,2200,2300,2500,2600,2600
,Aggregated,33249,14,2100,1181.6284879575464,0.716600006853696,3053.985999998986,14991.228488074828,92.58731482580349,0.03898530504861045,2100,2100,2100,2100,2100,2200,2400,2500,2800,3000,3100
