Method,Name,Error,Occurrences,First Seen,Last Seen
GET,/api/v1/qr/menu [isolation-control:b],CatchResponseError('menu load failed: 0'),1,2026-08-13T11:28:53Z,2026-08-13T11:28:53Z
POST,/api/v1/qr/orders [mixed:POST],CatchResponseError('order placement failed: 500: Internal Server Error'),3058,2026-08-13T11:23:25Z,2026-08-13T11:29:22Z
