Method,Name,Error,Occurrences,First Seen,Last Seen
GET,/api/v1/qr/menu [mixed:pre-order],CatchResponseError('menu load failed: 0'),2,2026-08-13T10:24:57Z,2026-08-13T10:25:22Z
GET,/api/v1/qr/menu [isolation-control:b],CatchResponseError('menu load failed: 0'),3,2026-08-13T10:23:17Z,2026-08-13T10:24:52Z
GET,/api/v1/qr/menu [mixed:browse],CatchResponseError('menu load failed: 0'),3,2026-08-13T10:24:03Z,2026-08-13T10:24:57Z
GET,/api/v1/qr/menu [mixed:poll-fallback],CatchResponseError('menu load failed: 0'),1,2026-08-13T10:24:25Z,2026-08-13T10:24:25Z
