elapsed_s,backend_cpu_pct_total,backend_rss_mb_total,backend_process_count,postgres_total_cpu_pct,postgres_total_rss_mb,postgres_process_count,db_active_connections,db_total_connections
3.0,0.5,218.0,5,1.6,724.0,35,0,20
6.3,1.0,218.0,5,0.5,724.0,35,0,20
9.4,0.0,218.0,5,0.5,724.0,35,0,20
12.8,18.2,289.4,5,12.1,742.3,35,0,20
16.0,2.5,290.7,5,3.0,752.2,35,0,20
19.2,7.2,294.1,5,3.0,754.0,35,0,20
22.4,9.0,303.5,5,4.0,759.1,35,0,20
25.7,12.5,304.4,5,1.0,760.5,35,0,20
28.8,12.0,304.9,5,4.0,763.1,35,0,20
32.0,9.8,305.1,5,1.5,763.6,35,0,20
35.2,10.8,306.4,5,4.0,767.7,35,0,20
38.4,9.4,306.6,5,1.5,768.6,35,0,20
41.6,22.1,306.7,5,6.5,769.8,35,0,20
44.8,19.1,307.2,5,4.5,772.3,35,0,20
48.0,14.0,307.2,5,7.0,780.4,36,0,20
51.1,19.9,307.6,5,5.5,774.3,35,0,20
54.5,24.5,308.0,5,2.9,775.3,35,0,20
57.7,27.3,308.3,5,9.5,776.8,35,0,20
60.9,29.0,364.0,5,4.0,777.7,35,0,20
64.1,8.5,364.3,5,2.0,777.9,35,0,20
67.3,29.8,364.2,5,2.5,778.1,35,0,20
70.5,67.8,364.6,5,13.1,778.2,35,0,20
74.2,126.3,519.2,5,24.6,907.7,42,-1,-1
82.6,98.2,521.8,5,23.8,752.2,35,0,20
86.1,119.5,518.6,5,27.9,759.1,35,0,20
89.6,104.0,518.1,5,25.2,767.5,35,0,20
93.2,88.2,517.4,5,21.3,770.3,35,0,20
97.4,96.2,518.1,5,21.2,775.4,36,0,20
101.1,108.4,518.2,5,20.1,767.0,35,0,20
104.6,106.7,518.2,5,20.4,789.2,37,1,20
109.5,85.2,518.7,5,22.6,745.2,36,0,20
113.1,85.8,518.7,5,20.5,735.9,35,0,20
116.7,103.5,519.7,5,25.4,754.7,37,0,20
121.3,101.0,519.8,5,20.9,731.8,35,0,20
124.9,94.7,520.7,5,25.4,733.6,36,0,20
