Method,Name,Error,Occurrences,First Seen,Last Seen
GET,/api/v1/qr/menu [mixed:pre-order],CatchResponseError('menu load failed: 0'),1,2026-08-12T21:38:29Z,2026-08-12T21:38:29Z
GET,/api/v1/qr/menu [isolation-control:b],CatchResponseError('menu load failed: 0'),2,2026-08-12T21:38:19Z,2026-08-12T21:38:29Z
GET,/api/v1/qr/menu [mixed:browse],CatchResponseError('menu load failed: 0'),1,2026-08-12T21:38:08Z,2026-08-12T21:38:08Z
GET,/api/v1/qr/orders/{id} [mixed:poll],CatchResponseError('status poll failed: 500'),7,2026-08-12T21:39:37Z,2026-08-12T21:40:09Z
GET,/api/v1/qr/menu [mixed:browse],CatchResponseError('menu load failed: 500'),17,2026-08-12T21:39:07Z,2026-08-12T21:40:08Z
GET,/api/v1/qr/orders/{id} [mixed:poll],CatchResponseError('status poll failed: 0'),1,2026-08-12T21:38:31Z,2026-08-12T21:38:31Z
GET,/api/v1/qr/menu [mixed:poll-fallback],CatchResponseError('menu load failed: 500'),6,2026-08-12T21:39:07Z,2026-08-12T21:40:09Z
POST,/api/v1/qr/orders [mixed:POST],CatchResponseError('order placement failed: 500: Internal Server Error'),5,2026-08-12T21:39:07Z,2026-08-12T21:40:09Z
GET,/api/v1/qr/menu [mixed:pre-order],CatchResponseError('menu load failed: 500'),6,2026-08-12T21:39:04Z,2026-08-12T21:39:38Z
GET,/api/v1/qr/menu [mixed:poll-fallback],CatchResponseError('menu load failed: 0'),2,2026-08-12T21:38:30Z,2026-08-12T21:38:32Z
GET,/api/v1/qr/menu [isolation-control:b],CatchResponseError('menu load failed: 500'),54,2026-08-12T21:39:07Z,2026-08-12T21:40:09Z
