Method,Name,Error,Occurrences,First Seen,Last Seen
GET,/api/v1/qr/menu [mixed:pre-order],CatchResponseError('menu load failed: 0'),8,2026-08-13T13:33:46Z,2026-08-13T13:39:06Z
GET,/api/v1/qr/menu [isolation-control:b],CatchResponseError('menu load failed: 0'),41,2026-08-13T13:33:33Z,2026-08-13T13:39:11Z
GET,/api/v1/qr/menu [mixed:browse],CatchResponseError('menu load failed: 0'),34,2026-08-13T13:33:38Z,2026-08-13T13:38:56Z
GET,/api/v1/qr/orders/{id} [mixed:poll],CatchResponseError('status poll failed: 500'),2,2026-08-13T13:40:15Z,2026-08-13T13:40:45Z
GET,/api/v1/qr/menu [mixed:browse],CatchResponseError('menu load failed: 500'),44,2026-08-13T13:39:43Z,2026-08-13T13:40:45Z
GET,/api/v1/qr/orders/{id} [mixed:poll],CatchResponseError('status poll failed: 0'),6,2026-08-13T13:33:48Z,2026-08-13T13:38:45Z
GET,/api/v1/qr/menu [mixed:poll-fallback],CatchResponseError('menu load failed: 500'),8,2026-08-13T13:39:44Z,2026-08-13T13:40:45Z
POST,/api/v1/qr/orders [mixed:POST],CatchResponseError('order placement failed: 500: Internal Server Error'),2,2026-08-13T13:39:44Z,2026-08-13T13:39:44Z
GET,/api/v1/qr/menu [mixed:pre-order],CatchResponseError('menu load failed: 500'),11,2026-08-13T13:39:44Z,2026-08-13T13:40:45Z
GET,/api/v1/qr/menu [mixed:poll-fallback],CatchResponseError('menu load failed: 0'),11,2026-08-13T13:33:48Z,2026-08-13T13:39:03Z
POST,/api/v1/qr/orders [mixed:POST],CatchResponseError('order placement failed: 0: '),11,2026-08-13T13:39:44Z,2026-08-13T13:40:45Z
GET,/api/v1/qr/menu [isolation-control:b],CatchResponseError('menu load failed: 500'),53,2026-08-13T13:39:43Z,2026-08-13T13:40:45Z
