Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/api/v1/qr/menu [isolation-control:b],17547,8,2100,1606.9133706331022,0.8897000006982125,3697.943600003782,17852.856841625347,38.17019613949848,0.017402494393114937,2100,2100,2100,2200,2400,2500,2700,2800,3100,3700,3700
GET,/api/v1/qr/menu [mixed:browse],13081,14,2100,1183.8517654613684,0.9296999996877275,3708.852800002205,17836.700328721046,28.455253644542065,0.03045436518795114,2100,2100,2100,2100,2300,2500,2600,2700,3100,3300,3700
GET,/api/v1/qr/menu [mixed:poll-fallback],3598,2,2100,1190.1342806559485,1.654499996220693,3427.666000003228,17845.878543635354,7.826771853303444,0.004350623598278734,2100,2100,2100,2100,2300,2500,2600,2800,3100,3400,3400
GET,/api/v1/qr/menu [mixed:pre-order],4328,5,730,1144.507626016643,1.963999995496124,3479.9024000021745,17835.17305914972,9.414749466675183,0.010876558995696837,740,2100,2100,2100,2300,2500,2600,2700,3100,3500,3500
POST,/api/v1/qr/orders [mixed:POST],4318,0,17,69.79305565086504,2.978700002131518,2082.4279000007664,158.92982862436313,9.392996348683788,0.0,17,32,60,90,210,340,500,660,1500,2100,2100
GET,/api/v1/qr/orders/{id} [mixed:poll],2735,3,590,1083.5587412065797,1.2940000015078112,3083.5000000006403,923.7327239488117,5.94947777064617,0.006525935397418102,590,2100,2100,2100,2100,2300,2400,2600,2900,3100,3100
,Aggregated,45607,32,2100,1231.8921564058078,0.8897000006982125,3708.852800002205,15155.540246014865,99.20944522334912,0.06960997757245975,2100,2100,2100,2100,2300,2500,2600,2800,3100,3500,3700
