Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/api/v1/qr/menu [isolation-control:b],2381,1,2100,1506.4723597226914,18.100900000717957,2295.948799997859,17853.4985300294,11.380111115095302,0.00477955107731848,2100,2100,2100,2100,2100,2100,2100,2100,2200,2300,2300
GET,/api/v1/qr/menu [mixed:browse],1701,0,2000,1053.6027469135815,18.114099999365862,2646.5084000010393,17855.774250440918,8.130016382518734,0.0,2000,2100,2100,2100,2100,2100,2100,2100,2300,2600,2600
GET,/api/v1/qr/menu [mixed:poll-fallback],325,0,2100,1080.9657886155094,19.06810000218684,2190.557500005525,17855.806153846155,1.553354100128506,0.0,2100,2100,2100,2100,2100,2100,2100,2100,2200,2200,2200
GET,/api/v1/qr/menu [mixed:pre-order],559,1,2100,1097.695982647545,0.7920000061858445,2175.7661000010557,17823.849731663686,2.6717690522210304,0.00477955107731848,2100,2100,2100,2100,2100,2100,2100,2100,2200,2200,2200
POST,/api/v1/qr/orders [mixed:POST],559,0,14,17.994539535057015,3.191099996911362,2051.812899997458,462.304114490161,2.6717690522210304,0.0,14,19,21,22,26,32,43,62,2100,2100,2100
GET,/api/v1/qr/orders/{id} [mixed:poll],561,0,16,970.39643761154,4.664300002332311,2114.502199998242,903.9322638146167,2.6813281543756675,0.0,16,2000,2100,2100,2100,2100,2100,2100,2100,2100,2100
,Aggregated,6086,2,2100,1133.4975756983065,0.7920000061858445,2646.5084000010393,14691.760598093986,29.08834785656027,0.00955910215463696,2100,2100,2100,2100,2100,2100,2100,2100,2200,2600,2600
